sku,asin,totalFbaAvailablePool,totalFbaIncomingPool,salesVelocity,daysOfInventory,projectedDaysOfInventory,oosRiskFlag,totalUnits30d
VV-VITA-203,B08JC2YLYL,2891,0,35.6423,83.777,83.777,False,845
VV-VITA-401,B0FLQPD6GL,240,0,3.3873,84.1372,84.1372,False,116
VV-VITA-365,B0D47DZG2Q,47,0,0.568,84.5106,84.5106,False,11
VV-VITA-355-V,B0FLQM4R56,507,0,6.1759,84.846,84.846,False,207
VV-VITA-378,B0DFCRYTBC,388,0,4.6149,86.025,86.025,False,129
VV-VITA-189,B08DCXNCWS,28,0,0.3479,86.2341,86.2341,False,13
VV-VITA-119,B07C5Q7T4D,3406,0,40.37,86.8961,86.8961,False,1245
VV-VITA-153,B07ZQHMLQY,59,0,0.6952,87.7504,87.7504,False,21
VV-VITA-109,B077QQ2XV8,95,0,1.0518,91.2758,91.2758,False,32
VV-VITA-390,B0DXFV7GSR,238,80,2.6605,92.0888,122.1587,False,67
VV-VITA-225,B08VWV18N7,45,0,0.5087,94.3533,94.3533,False,17
VV-VITA-287,B09TJTTP84,141,0,1.7885,95.0532,95.0532,False,72
NX-CVPF-VCEZ,B00XU8AUC2,1314,0,14.1681,96.8372,96.8372,False,458
VV-VITA-227,B08VWF8Y96,113,0,1.1785,100.9745,100.9745,False,40
VV-VITA-390,B0DXFV7GSR,110,20,1.0371,107.9896,127.2735,False,26
VV-VITA-256,B09C6GDG72,905,0,8.5382,108.8052,108.8052,False,273
VV-VITA-404,B0FLQNDFG9,474,0,4.3735,108.8361,108.8361,False,139
VV-VITA-399,B0FLQPR7DY,86,0,0.7751,110.9498,110.9498,False,32
VV-VITA-413,B0G54B45T6,501,0,4.5552,111.3014,111.3014,False,74
VV-VITA-105,B076M64FW6,143,0,1.2955,111.9242,111.9242,False,33
VV-VITA-38,B01D3FVKWA,64,0,0.5789,112.2887,112.2887,False,15
VV-VITA-264,B09JCMLXP5,41,0,0.3723,112.8216,112.8216,False,10
VV-VITA-395,B0F4451PSV,86,0,0.7825,113.7398,113.7398,False,24
VV-VITA-363-V,B0FDBCQ9QR,223,0,1.9466,114.5597,114.5597,False,76
VV-VITA-367,B0D638JD41,72,0,0.6687,115.1412,115.1412,False,30
VV-VITA-377,B0DFCQLLSY,366,0,3.2312,115.7482,115.7482,False,99
VV-VITA-342,B0CCJVV9GF,492,0,4.3785,116.2498,116.2498,False,108
VV-VITA-252,B096W5QCHX,27,0,0.2302,117.3024,117.3024,False,10
VV-VITA-250,B096W54FGM,301,0,2.6447,117.9721,117.9721,False,80
VV-VITA-417,B0G617YBDB,523,96,4.6421,119.7731,140.4533,False,132
VV-VITA-376,B0DFCR6LPY,131,0,1.112,121.4058,121.4058,False,42
VV-VITA-383,B0DK9KCD8Y,55,0,0.4572,122.4727,122.4727,False,13
VV-VITA-198-V,B0FLQM46GH,463,0,3.7393,125.1578,125.1578,False,153
VV-VITA-352,B0CMV9BH8K,458,0,3.7859,125.2014,125.2014,False,113
VV-VITA-340,B0C94719Z8,72,0,0.5949,126.0793,126.0793,False,15
VV-VITA-361,B0D2319J4L,1323,0,10.8478,126.2928,126.2928,False,349
VV-VITA-297,B09ZDLZXDM,337,0,2.622,131.5781,131.5781,False,33
BJ-E223-8EKW,B00RBUM5JQ,1506,0,11.6349,132.1029,132.1029,False,359
VV-VITA-384,B0DK9L5MWL,82,0,0.6186,134.1705,134.1705,False,17
